id,tenure,claim.ind,n.adults,n.children,ni.gender,ni.marital.status,premium,sales.channel,coverage.type,dwelling.type,len.at.res,credit,house.color,ni.age,year,zip.code,cancel
1,12,0,4,2,F,1,895.6156167,Broker,B,Condo,13,high,blue,47,2013,80020,0
2,18,0,2,0,M,1,828.3323724,Broker,C,Tenant,15,high,white,47,2013,50025,0
3,4,0,2,0,M,0,1003.061685,Phone,B,House,10,medium,blue,30,2013,50025,0
4,16,0,1,0,F,1,1092.448192,Broker,C,Condo,22,high,red,38,2013,80026,0
5,14,0,3,3,M,1,885.4742459,Phone,A,Tenant,18,low,white,49,2013,50054,0
6,14,0,3,0,F,0,897.3957302,Broker,C,House,19,high,white,40,2013,85076,0
7,19,0,1,1,F,0,855.0102612,Phone,A,Tenant,21,high,white,51,2013,15057,0
8,13,1,1,0,M,0,789.1410214,Broker,C,Condo,10,high,blue,47,2013,85027,0
9,11,1,1,3,F,1,986.1079394,Broker,C,Tenant,18,medium,red,42,2013,50020,0
10,14,0,4,1,M,1,991.8100436,Broker,C,House,16,high,white,50,2013,50009,0
11,5,0,1,0,M,0,987.3780328,Phone,C,Tenant,10,high,red,28,2013,50043,0
12,17,0,3,3,M,1,905.2240108,Broker,A,House,22,low,blue,65,2013,85018,0
13,3,0,2,0,M,0,971.4276854,Phone,C,House,10,low,white,25,2013,50020,0
14,15,0,1,0,M,1,882.4912815,Broker,B,House,17,low,white,52,2013,50052,1
15,13,0,1,2,F,1,1000.26748,Broker,C,Tenant,10,high,blue,50,2013,50027,0
16,18,1,1,1,M,1,972.5224013,Phone,B,Condo,10,high,white,38,2013,15025,0
17,15,0,1,1,F,1,918.4750864,Broker,C,House,14,medium,red,46,2013,85022,0
18,15,0,3,6,F,1,998.1888284,Online,B,Condo,12,low,white,63,2013,85072,1
19,2,0,1,1,M,1,864.3599489,Broker,B,Condo,18,high,white,33,2013,85060,0
20,5,0,1,1,F,0,990.9064927,Broker,B,Tenant,16,high,red,28,2013,50011,1
21,15,0,2,0,M,0,806.6902093,Phone,B,House,13,low,blue,38,2013,85013,0
22,11,1,2,2,F,1,769.2357556,Broker,A,Condo,19,medium,blue,51,2013,80002,1
23,18,0,1,1,F,1,957.3376918,Broker,A,House,45.37305669,high,white,55,2013,50013,0
24,15,0,1,0,M,0,1038.029077,Broker,B,Condo,21,high,blue,58,2013,50006,0
25,15,0,4,4,F,1,702.5850835,Broker,A,House,19,high,red,46,2013,98032,1
26,16,0,1,6,M,1,897.6653984,Broker,B,House,16,high,blue,37,2013,50001,0
27,11,0,2,0,M,1,926.2756743,Phone,A,Condo,18,high,white,48,2013,15042,0
28,15,0,3,1,M,1,940.6310432,Phone,A,Tenant,10,medium,white,37,2013,80012,0
29,13,0,3,1,M,0,795.3245035,Phone,C,House,7,low,yellow,35,2013,50007,0
30,11,0,1,0,M,0,1055.643457,Phone,C,Condo,9,low,yellow,37,2013,80005,1
31,7,0,1,0,F,0,905.2435941,Broker,B,Tenant,21,medium,blue,30,2013,85018,0
32,21,1,3,0,M,0,854.3529095,Phone,C,House,12,high,red,45,2013,80016,1
33,16,0,2,4,M,1,872.4156414,Phone,B,House,12,low,blue,47,2013,50012,1
34,11,0,2,0,M,1,703.0748545,Broker,C,House,12,low,blue,52,2013,80038,0
35,7,0,2,2,M,1,862.8813087,Broker,B,House,10,high,blue,34,2013,85069,0
36,12,1,2,0,F,1,877.9094814,Broker,A,Condo,16,high,yellow,55,2013,80011,0
37,2,0,2,4,F,1,1106.535764,Phone,B,Tenant,15,high,red,33,2013,85077,0
38,19,1,2,0,F,0,791.2710333,Broker,B,House,17,high,white,43,2013,50009,0
39,18,1,2,0,F,0,943.9936312,Broker,C,House,13,high,red,43,2013,20132,0
40,18,0,2,1,M,0,912.3302354,Phone,B,House,12,high,yellow,71,2013,85024,0
